Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: custom.features [single_line_text_field]
,Park Avenue MK2 Semi Recessed Basin,<p>The Park Avenue MK2 Semi Recessed Basin offers a sleek and modern design suitable for contemporary settings. It features a semi-recessed installation without an overflow.</p>,abey.com.au,basins,,TRUE,,,,,,,123381,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Semi-Recessed installation
- No overflow feature
- Elegant, sleek design
- Modern, contemporary style"
,Kallio One &amp;amp; 1/3 Bowl Day with 1TH,"<p>The Kallio One &amp; 1/3 Bowl Day with 1TH is designed for topmount installation and crafted from granite. It features a unique one and one-third bowl configuration, suitable for modern kitchen settings.</p>",abey.com.au,sinks,,TRUE,,,,,,,KM-175D,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation type
- Made from granite with Green Line grade
- One & One Third bowls configuration
- Centre drain position
- Two 90mm waste outlet dimensions
- Minimum cabinet size of 900mm"
,Poco Basin Mixer Lead Free,"<p>The Poco Basin Mixer Lead Free is a sleek and modern faucet designed for any bathroom, crafted with a lead-free construction by Abey Australia.</p>",abey.com.au,sinks,,TRUE,,,,,,,6B1-LF,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Sleek and modern design
- Lead-free construction
- Ideal for any bathroom
- Crafted by Abey Australia"
,Piazza Wall Mounted Spout - Round 190mm,"<p>The Piazza Wall Mounted Spout - Round 190mm is a stylish bathroom fixture crafted by Armando Vicario, designed to enhance modern aesthetics with its 190mm round design.</p>",abey.com.au,sinks,,TRUE,,,,,,,500144,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Round 190mm stylish design
- Wall mounted spout
- Crafted by Armando Vicario
- Durable bathroom fixture
- Enhances modern aesthetics"
,Schock Typos Single Bowl with Drainer Onyx Left Hand Bowl 1TH,"<p>The Schock Typos Single Bowl with Drainer features a topmount installation with an Onyx finish and a left-hand bowl design, offering both style and practicality in the kitchen. This sink does not include an overflow.</p>",abey.com.au,sinks,,TRUE,,,,,,,TD100BL,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Single bowl with drainer
- Stylish Onyx color
- Left-hand bowl design
- Durable Schock brand"
,Poco Knurled High Basin Mixer,"<p>The Poco Knurled High Basin Mixer is a modern style mixer designed for undermount installation in kitchens. It features dual bowls made from premium stainless steel, offering a durable and functional solution.</p>",abey.com.au,sinks,,TRUE,,,,,,,6B3-K,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Premium stainless steel material
- Modern style design
- Undermount installation type
- 25-year warranty
- Centre drain position
- Dual bowl configuration"
,Poco P Wall Diverter Mixer,"<p>The Poco P Wall Diverter Mixer is designed for efficient water flow control with a pressure range of 150 to 500 kPa, suitable for a variety of bathroom settings. It's part of the showers collection, offering compatibility and style for modern bathrooms.</p>",abey.com.au,showers,,TRUE,,,,,,,8SHD-EXT-BN + 8SHD-INT-BN,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- - Sleek design for modern bathrooms
- - Operates at 150-500 kPa pressure
- - Minimum temperature of 1°C
- - Part of the showers collection"
,Schock Typos Single Bowl with Drainer Croma Right Hand Bowl 1TH,"<p>The Schock Typos Single Bowl with Drainer Croma Right Hand Bowl 1TH is engineered for a topmount installation, featuring a sleek Croma finish without an overflow. Designed with a right hand bowl orientation, it brings functionality and style to your kitchen setup.</p>",abey.com.au,sinks,,TRUE,,,,,,,TD100CRR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- No overflow feature
- Right hand bowl orientation
- Sleek Croma finish
- Brand: Schock"
,Formoso 1690mm Natural Stone Bath Matt,"<p>The Formoso 1690mm Natural Stone Bath Matt combines elegance and functionality with its versatile freestanding and drop-in installation options. Crafted from high-quality natural stone, it includes a built-in overflow system for convenience and safety.</p>",abey.com.au,baths,,TRUE,,,,,,,27474,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- - 1690mm natural stone bath
- - Freestanding and drop-in styles
- - Elegant freestanding installation
- - Stunning drop-in installation
- - Built-in overflow system
- - High-quality natural stone"
,Schock Typos Single Bowl with Drainer &amp;amp; 400710A Pull Out Kitchen Mixer Alpina,"<p>The Schock Typos Single Bowl with Drainer pairs with the 400710A Pull Out Kitchen Mixer in an Alpina design, offering a durable solution for your kitchen needs. This topmount sink ensures both function and style for modern kitchen setups.</p>",abey.com.au,sinks,,TRUE,,,,,,,TD100T2WR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Includes pull-out kitchen mixer
- Stylish Alpina design
- Durable and functional"
,Barazza Mood 90cm Built-in Hob Stainless Steel,"<p>The Barazza Mood 90cm Built-in Hob offers a modern and stylish aesthetic, crafted from durable stainless steel. It is designed to complement contemporary kitchens with its sleek and functional design.</p>",abey.com.au,sinks,,TRUE,,,,,,,1PMD95,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- 90cm built-in design
- Stainless steel construction
- Modern and stylish aesthetic
- Ideal for contemporary kitchens"
,Schock Signus Large Single Bowl Undermount Puro,<p>The Schock Signus Large Single Bowl Undermount Puro is designed for installation in both kitchens and laundries. This sink comes with an undermount installation type for a seamless and polished look.</p>,abey.com.au,sinks,,TRUE,,,,,,,N-100XLYP,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Large single bowl design
- Undermount installation for a seamless look
- Ideal for kitchens and laundries
- Crafted by SCHOCK
- No overflow feature"
,Poco Towel Ring,"<p>The Poco Towel Ring is a modern bathroom accessory designed by Abey, featuring a sleek design and durable construction for easy installation in any bathroom.</p>",abey.com.au,sinks,,TRUE,,,,,,,PTR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Part of the sinks collection
- Modern design by Abey
- Easy installation
- Durable construction
- Sleek and stylish
- Ideal for any bathroom"
,Piazza Handshower Set,"<p>The Piazza Handshower Set is an efficient shower solution, featuring a flexible hose and handpiece with a high WELS rating of 9.</p>",abey.com.au,showers,,TRUE,,,,,,,900113,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Flow rate of 9 LPM
- 1500mm flexible hose
- 32mm handpiece diameter
- Premium ROUND-1 FRONT model
- Highly efficient WELS rating 9"
,Barazza Alfresco Stainless Steel Cover/Tray,"<p>The Barazza Alfresco Stainless Steel Cover/Tray is crafted from 316 stainless steel, designed for use as either a cover or tray in outdoor kitchens. Its dimensions are 525mm in length, 365mm in width, and 65mm in depth.</p>",abey.com.au,sinks,,TRUE,,,,,,,1C306,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Made from 316 stainless steel
- Dimensions: 525mm x 365mm x 65mm
- Versatile cover or tray design
- Ideal for outdoor kitchens
- Durable and resistant to corrosion"
,Schock Formhaus Right Hand One &amp;amp; One Quarter Bowl &amp;amp; Drainer 1TH Alpina,"<p>The Schock Formhaus Right Hand One &amp;amp; One Quarter Bowl &amp;amp; Drainer 1TH Alpina offers a practical and stylish solution for kitchen sinks, featuring a functional integrated drainer and a sophisticated Alpina color.</p>",abey.com.au,sinks,,TRUE,,,,,,,FD-150LWR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Right hand one and one quarter bowl design
- Includes integrated drainer
- Alpina color
- Topmount installation
- 1 tap hole"
,Soap Dispenser Artisan Copper,"<p>The Soap Dispenser Artisan Copper showcases an artisan copper finish, designed to integrate seamlessly with sinks. It offers both style and functionality, pairing well with the Abey sink collection.</p>",abey.com.au,sinks,,TRUE,,,,,,,SD07L-CO,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- - Artisan copper finish
- - Seamless sink integration
- - Stylish and functional design
- - Matches with Abey sink collection"
,Poco Shower Mixer Lead Free,<p>The Poco Shower Mixer Lead Free is designed with a lead-free construction and operates efficiently within a water pressure range of 150-500 kPa. It offers an environmentally friendly solution for eco-conscious homes.</p>,abey.com.au,showers,,TRUE,,,,,,,6SH-EXT-LF + USH-INT-LF,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Lead-free construction
- Pressure range 150-500 kPa
- Highly efficient design
- Ideal for eco-conscious homes"
,Park Avenue Basin Spout 2 Piece 210mm,"<p>The Park Avenue Basin Spout 2 Piece 210mm features a stylish and modern design, providing optimal reach for various basin configurations. It is crafted with high-quality materials and is compatible with most basins.</p>",abey.com.au,basins,,TRUE,,,,,,,1BS-S,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Stylish and modern design
- 210mm length for optimal reach
- High-quality craftsmanship
- Compatible with most basins
- Part of the basins collection"
,Poco 3 Hole Bath/Shower Mixer Set,<p>The Poco 3 Hole Bath/Shower Mixer Set is designed for modern bathrooms and accommodates water pressures from 150 kPa to 500 kPa.</p>,abey.com.au,showers,,TRUE,,,,,,,6BS-WS,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Minimum pressure 150 kPa
- Maximum pressure 500 kPa
- Elegant 3 hole design
- Designed for modern bathrooms"
,Schock Pro Care Set,"<p>The Schock Pro Care Set is designed to provide durable and efficient maintenance for sinks, ensuring they remain in pristine condition. It offers a hygienic cleaning solution with effortless application and maintenance.</p>",abey.com.au,sinks,,TRUE,,,,,,,629099,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- - Durable and efficient sink care
- - Maintains pristine sink condition
- - Hygienically cleans sinks
- - Effortless application and maintenance"
,Schock Quadro Single Bowl Croma,"<p>The Schock Quadro Single Bowl Croma is a kitchen sink designed with a topmount installation in mind, crafted from durable composite material. This model does not include an overflow feature.</p>",abey.com.au,sinks,,TRUE,,,,,,,QN-100SCR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Composite material
- Designed for kitchen use
- No overflow feature"
,Schock Virtus Small Bowl 1TH Alpina,"<p>The Schock Virtus Small Bowl 1TH Alpina is a compact sink designed for topmount installation, crafted from durable composite material with a stylish Alpina finish.</p>",abey.com.au,sinks,,TRUE,,,,,,,VN-100XSW,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Durable composite material
- Stylish Alpina finish
- Small bowl design"
,Schock SOHO Large Single Bowl Puro,"<p>The Schock SOHO Large Single Bowl Puro is designed for topmount installation, offering a blend of sleek contemporary style and practical functionality. Made from stainless steel, it is built to last with a 25-year warranty.</p>",abey.com.au,sinks,,TRUE,,,,,,,N120P,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Made from stainless steel
- Contemporary style
- Single bowl design
- Centre drain position
- 25-year warranty"
,Vela Diverter Mixer,"<p>The Vela Diverter Mixer is designed for use in shower systems and operates efficiently within a pressure range of 150 to 500 kPa, while supporting a minimum temperature of 1°C.</p>",abey.com.au,showers,,TRUE,,,,,,,7SHD-EXT-2 + USHD-INT,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Pressure range: 150-500 kPa
- Minimum temperature: 1°C
- Part of the showers collection
- No select button function
- No wall bracket included
- No soap dish included"
,Byron ClearStone Gloss Basin with Matching Stone Waste,"<p>The Byron ClearStone Gloss Basin offers a sleek, modern look with its glossy stone resin construction and is designed for countertop installation. It comes with a matching stone waste to ensure a cohesive style in your bathroom.</p>",abey.com.au,basins,,TRUE,,,,,,,22898,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Glossy stone resin construction
- Includes matching stone waste
- Countertop installation
- Elegant modern design"
,Schock Quadro One &amp;amp; 1/2 Bowl Onyx,<p>The Schock Quadro One &amp; 1/2 Bowl Onyx is a topmount sink designed for installation in kitchens or laundry areas. It features a modern onyx color and is crafted from durable SCHOCK material.</p>,abey.com.au,sinks,,TRUE,,,,,,,QN-150B,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Sleek onyx color
- Durable SCHOCK material
- Ideal for kitchen or laundry"
,Chambord LEGRANDE Large Bowl Reversible Fireclay,"<p>The Chambord LEGRANDE Large Bowl Reversible Fireclay is a versatile sink crafted from durable fireclay, designed for drop-in installation in kitchen or laundry settings.</p>",abey.com.au,sinks,,TRUE,,,,,,,LEGRANDE-3W,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Material: Fireclay
- Installation Type: Drop-In
- Reversible Style
- Single Bowl Design
- Overall Length: 838mm
- Waste Outlet Dimensions: 90mm x 2”"
,Plug &amp;amp; Waste 40mm Matt Black,<p>The Plug & Waste 40mm Matt Black is designed for sinks with a Ø60mm outlet. This durable and stylish plug provides a modern look with its matt black finish.</p>,abey.com.au,sinks,,TRUE,,,,,,,6052-MB,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Matt black finish
- 40mm plug size
- Compatible with Ø60mm outlet
- Stylish and durable design"
,Schock Typos Single Bowl with Right Hand Drainer 1TH &amp;amp; 400710B Pull Out Kitchen Mixer Onyx,<p>The Schock Typos Single Bowl with Right Hand Drainer and 400710B Pull Out Kitchen Mixer in Onyx offers a stylish and functional solution for modern kitchens. It combines a single bowl with a right-hand drainer and a pull-out kitchen mixer.</p>,abey.com.au,sinks,,TRUE,,,,,,,TD100T2BR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Single bowl, right hand drainer
- Pull out kitchen mixer
- Onyx color finish
- Stylish and functional design
- Durable construction"
,Poco Knurled Diverter Mixer,"<p>The Poco Knurled Diverter Mixer offers a stylish and durable design suitable for various shower setups. It features a knurled texture providing better grip, with a pressure range of 150-500 kPa and a minimum temperature of 1°C.</p>",abey.com.au,showers,,TRUE,,,,,,,6SHD-EXT-K-2 + USHD-INT,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Pressure range 150-500 kPa
- Minimum temperature 1°C
- Stylish and durable design
- Knurled texture for better grip"
,Schock SOHO Single Bowl Magma,"<p>The Schock SOHO Single Bowl Magma is designed for topmount installation in kitchen applications. It features a single bowl design, characterized by its practical and aesthetic appeal.</p>",abey.com.au,sinks,,TRUE,,,,,,,N100SB,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount installation
- Single bowl design
- Designed for kitchen applications
- Brand: Schock"
,Plug &amp;amp; Waste 90x50mm Black,"<p>The Plug & Waste 90x50mm Black is designed with a centre drain position and a sleek black finish, suitable for undermount sinks. It features a 2"" BSP outlet and a no overflow design.</p>",abey.com.au,sinks,,TRUE,,,,,,,6025-B,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Black finish
- Centre drain position
- 2"" BSP Outlet
- No overflow design
- Undermount installation"
,Schock Virtus Large Bowl 1TH Onyx,"<p>The Schock Virtus Large Bowl 1TH Onyx is a topmount sink designed for kitchen use, featuring a spacious bowl in an elegant Onyx color. Its design facilitates easy installation while providing a stylish look.</p>",abey.com.au,sinks,,TRUE,,,,,,,VN-100XLB,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Topmount kitchen sink
- Elegant Onyx color
- Large bowl design
- Easy installation"
,304 Gooseneck Pull Out  with Dual Spray Function Kitchen Mixer,"<p>The 304 Gooseneck Pull Out with Dual Spray Function Kitchen Mixer offers practicality and style with its stainless steel construction and flexible dual spray options. It is designed to be compatible with Abey sinks, providing a seamless integration into your kitchen space.</p>",abey.com.au,sinks,,TRUE,,,,,,,KTA014-BR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- 304 stainless steel
- Dual spray function
- Gooseneck design
- Overall width 230mm
- Overall depth 240mm"
,BS1 Bar Sink Black Pearl,"<p>The BS1 Bar Sink Black Pearl by Abey is crafted from stainless steel, designed for undermount installation, and suitable for both kitchen and laundry applications. It features a sleek black pearl finish and does not include an overflow.</p>",abey.com.au,sinks,,TRUE,,,,,,,BS1B,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Sleek black pearl design
- Undermount installation
- Stainless steel construction
- Ideal for kitchen or laundry
- No overflow feature"
,Poco Basin Spout 165mm,"<p>The Poco Basin Spout 165mm is designed for a wall-hung installation, offering a modern and minimalistic style suitable for bath areas. It does not include an overflow and fits a G1/2 waste outlet.</p>",abey.com.au,basins,,TRUE,,,,,,,6S-C165,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- 165mm spout length
- Wall hung installation
- Fits G1/2 waste outlet
- Designed for bath areas
- Modern, minimalistic style"
